日期,序号,模版名称,模版字数,模版关键词提取：主体信息,模版关键词提取：标的,模版关键词提取：价款与支付信息,模版关键词提取：交易,关键词串联：主体信息,关键词串联：标的,关键词串联：价款与支付信息,关键词串联：交易,模版标准度打分,合同类型,合同类型-一级,合同类型-二级,备注
20250331,12,12_机动车辆保险合同,2983,保险人|被保险人|驾驶人员|第三者,汽车|电车|摩托车|拖拉机|机械车|特种车|损失险|责任险,保险金额|赔偿限额|保险费|赔偿款|免赔率|批改费|无赔款优待,保险责任|除外责任|赔偿处理|索赔单证|修理费用|实际价值|新车购置价|协商作价|书面申请|绝对免赔率|代位追偿|权益放弃|维护保养|变更用途|违法活动|合理施救|交通报案|伪造单证|无赔款优待|行驶证号牌,本合同主体包括保险人（承保方）、被保险人（投保方）、驾驶人员（被保险车辆驾驶员）及第三者（事故中涉及的第三方人员或财产所有者）。,本合同涉及的保险标的包括各类机动车辆，如汽车、电车、摩托车、拖拉机、机械车及特种车等，承保险种涵盖车辆损失险及第三者责任险等。,保险金额根据车辆实际价值或新车购置价确定，赔偿限额依据条款约定执行。保险费按约定方式缴纳，赔偿款在事故发生后按免赔率计算赔付。批改费适用于合同变更情形，无赔款优待适用于续保时无理赔记录的客户,保险责任范围及除外责任在条款中明确约定，赔偿处理需提供索赔单证并核算修理费用。车辆价值可按实际价值、新车购置价或协商作价确定。被保险人需书面申请批改事项，事故中适用绝对免赔率。保险人享有代位追偿权，被保险人不得擅自放弃权益。车辆需按时维护保养，变更用途或从事违法活动将影响理赔。事故发生后需合理施救并报案，伪造单证将导致拒赔。行驶证号牌信息需如实提供，续保时符合条件者可享受无赔款优待,122,保险合同--运输工具保险合同,保险合同,运输工具保险合同,
20250331,13,13_中国证券登记结算有限责任公司上海分公司交易型开放式基金登记结算服务协议,3685,登记结算|证券账户|基金托管|销售代理|申购赎回,ETF份额|组合证券|基金份额|现金替代|现金差额,登记费|结算费|备付金|利息|代收代付,初始登记|份额折算|变更登记|清算交收|资金划付|数据报送|账户验证|系统安装|技术支持|接口规范|保密义务|补充协议|生效日期|违约责任|争议解决|业务规则|资金透支|违约处理|申购赎回|份额注销,本合同涉及的主体包括登记结算机构、证券账户持有人、基金托管人、销售代理机构以及参与申购赎回业务的各方。,本合同标的为ETF份额及其相关权益，包括组合证券、基金份额的申购与赎回，以及现金替代和现金差额的结算事宜。,合同价款及相关费用包括登记费、结算费、备付金管理、利息计算以及代收代付业务，各方应按照约定及时履行支付义务。,本合同交易条款涵盖初始登记、份额折算、变更登记、清算交收、资金划付等操作流程，同时包括数据报送、账户验证、系统安装、技术支持及接口规范等技术要求。此外，合同还规定了保密义务、补充协议签署、生效日期、违约责任及争议解决机制，并明确了业务规则、资金透支处理、违约处理措施、申购赎回流程及份额注销等相关条款。,125,证券期货合同（投资理财合同）--其他投资理财类合同,证券期货合同（投资理财合同）,其他投资理财类合同,协议
20250331,14,14_开放式基金传真交易协议,3544,投资者|基金管理|直销机构|机构投资者|个人投资者,基金开户|认购|申购|赎回|撤单|基金转换|转托管|分红方式|交易帐户|基金份额,足额资金|赎回款项|银行帐户|支付批次|支付方式,传真委托|交易密码|工作日|开放日|申请表|印鉴卡|授权书|身份证件|指定银行|特快专递|交易帐户|基金份额|认购资金|申购资金|赎回申请|转托管|基金转换|更改分红|撤单申请|传真确认|交易流程|资金划转|帐户冻结|资料变更|业务授权,本合同主体包括投资者（含机构投资者与个人投资者）、基金管理公司及直销机构，各方依据本合同约定履行相应权利义务，共同完成基金交易及相关服务。,本合同标的为投资者通过基金管理直销机构进行基金开户、认购、申购、赎回、撤单、基金转换、转托管等基金交易业务，包括但不限于交易帐户开立、基金份额管理、分红方式变更等基金相关服务。,投资者需确保银行帐户中有足额资金用于认购或申购基金，基金管理公司或直销机构将按约定支付批次及支付方式划付赎回款项至投资者指定银行帐户，资金划转需符合相关交易流程。,投资者可通过传真委托、特快专递等方式提交申请表、印鉴卡、授权书及身份证件等资料办理业务，交易需使用交易密码并在开放日或工作日内完成。业务范围包括基金份额申购、赎回申请、转托管、基金转换、更改分红方式及撤单申请等，基金管理公司或直销机构将进行传真确认并执行资金划转。若涉及帐户冻结、资料变更或业务授权，需按指定流程办理,125,证券期货合同（投资理财合同）--委托理财合同,证券期货合同（投资理财合同）,委托理财合同,协议
20250331,16,16_资产信托合同,6407,委托人|受托人|自益受益人|他益受益人|经营者,特定信托收益权|信托收益权|信托财产|剩余收益|信托资金,信托报酬|现金支付|银行转账|收益分配|支付期限,信托目的|信托期限|信托收益|信托账户|信托管理|信托运用|信托处分|信托分配|信托终止|信托变更|信托解除|信托风险|信托税费|信托费用|信托保密|信托文件,本合同涉及的主体包括委托人、受托人、自益受益人、他益受益人以及相关经营者，各方依据信托法律关系行使相应权利并履行义务。,本合同标的为特定信托收益权及相关信托财产，包括但不限于信托收益权、信托资金及其产生的剩余收益等权益。,合同价款主要体现为信托报酬，支付方式为现金支付或银行转账，收益分配按照约定进行，所有款项应在规定的支付期限内完成结算。,本合同交易条款涵盖信托目的、信托期限及信托收益分配等核心内容，具体包括信托账户管理、信托财产运用与处分、收益分配机制、信托终止条件等事项，同时明确信托变更与解除程序、风险承担、税费处理、费用承担、保密义务及信托文件管理等全方位约定。,125,信托合同--资产信托合同,信托合同,资产信托合同,
20250331,17,17_外汇和配套人民币借款合同,1375,借款单位|贷款单位|保证人,外汇|人民币|贷款金额|借款用途,借款利率|付息|复息|还款计划|展期申请|扣收,订货卡片|定货合同|用汇计划|开证|付汇|延期用汇|调整用汇|还款担保|担保书|连带偿还|检查监督|提供报表|提供资料|借款申请书|用款计划|还款计划|书面材料,本合同涉及的主体包括借款单位、贷款单位及保证人，各方需按照约定履行相应义务，保证人需对借款承担连带责任。,本合同标的为外汇与人民币贷款业务，具体贷款金额由双方协商确定，借款用途需明确约定并符合国家相关规定。,合同价款涉及借款利率、付息及复息计算方式，还款计划需明确约定，借款单位可申请展期，贷款单位有权按约定扣收款项。,交易条款包括订货卡片、定货合同及用汇计划的提交与审核，涉及开证、付汇及延期用汇的调整。借款单位需提供还款担保及担保书，并承担连带偿还责任。贷款单位有权检查监督，借款单位需按时提供报表、资料、借款申请书、用款计划、还款计划及其他书面材料。,114,借款合同--配套人民币贷款合同,借款合同,配套人民币贷款合同,
20250331,19,19_借款合同范本,1605,贷款方|借款方|保证方|法定代表人|银行账户,贷款种类|借款用途|借款金额|借款利率|还款金额|还款利率,月息|利随本清|分期还款|还款资金|还款方式|罚息|违约金,抵押物|抵押权|用途限制|违法活动|期限还款|检查监督|计划执行|经营管理|财务活动|物资库存|追偿权|优先偿还|关停并转|撤销工程|意外事故,本合同主体包括贷款方、借款方及保证方，各方应明确法定代表人身份及银行账户信息，以确保合同履行的法律效力和资金流转的准确性。,本合同标的为贷款种类、借款用途、借款金额、借款利率、还款金额及还款利率等事项的约定，明确借款的具体类型、资金使用方向、借款本金额度、利率计算标准以及还款本息金额等核心要素。,合同价款涉及月息计算方式、利随本清或分期还款的选择，还款资金来源及还款方式的具体安排，同时包含罚息、违约金等违约责任的约定，以确保资金支付的合法性和可执行性。,本合同交易条款涵盖抵押物及抵押权的设定、借款用途限制及禁止用于违法活动的规定，同时包括期限还款要求、贷款方的检查监督权、借款方的计划执行与经营管理义务，以及财务活动、物资库存的合规性要求。此外，还规定了贷款方的追偿权、优先偿还权，并对借款方出现关停并转、撤销工程或意外事故等情形时的处理方式作出明确约定。,85,借款合同--保证担保借款合同,借款合同,保证担保借款合同,
20250331,20,20_委托贷款委托合同,2484,委托单位|借款单位|受托单位|保证人|抵押人|法定代表人|授权代理人,贷款币种|贷款金额|贷款期限|贷款用途|提款计划|还款计划|担保形式|抵押财产,委托贷款|基金专户|存款总额|月息|手续费|利率调整|利息支付|贷款回收,委托贷款|通知单|借款合同|贷款审查|贷款发放|贷款回收|提前收回|延期归还担保方式|保证方式|抵押方式|利率调整|贷款制裁|贷款损失|合同变更|合同解除书面通知|合同生效|合同失效|合同正本|合同副本|签字盖章|仲裁条款|诉讼条款,本合同主体包括贷款方、借款方及保证方，各方应明确法定代表人身份及银行账户信息，以确保合同履行的法律效力和资金流转的准确性。,本合同主体包括委托单位（甲方）、借款单位（乙方）、受托单位（丙方）及保证人（丁方）。抵押人为借款单位法定代表人，授权代理人为委托单位指定的经办人。各方均需提供合法有效的身份证明及授权文件。,本合同标的为委托贷款业务，贷款币种为人民币，贷款金额为500万元，贷款期限为3年。贷款用途仅限于企业流动资金周转，具体提款计划与还款计划按照双方约定执行。担保形式为抵押担保，抵押财产包括借款单位名下的厂房及土地使用权。,本合同交易条款包括委托贷款通知单的签发、借款合同的签订及贷款审查流程。贷款发放需满足所有先决条件，贷款回收按计划执行。若借款单位违约，委托单位有权提前收回贷款或要求延期归还。担保方式包括保证与抵押，利率调整需双方协商一致。若发生贷款损失，将按合同约定追究责任。合同变更或解除需书面通知，并经各方签字盖章确认。合同正本与副本具有同等效力，争议解决适用仲裁条款或诉讼条款。,105,委托行纪中介合同--委托贷款合同,委托行纪中介合同,委托贷款合同,
20250331,25,25_搬运承揽合同,3544,委托人|承揽人|法定代表人|委托代理人|企业身份|合法存续|内部授权|授权代表,货物名称|货物数量|货物价值|违禁品|危险品|货物清单|包装标准|小件物品|文件资料|电脑连线|集中堆放,包装费|搬运费|车次费|定金支付|余款支付|运输发票|保管费|留置权|现金支付|银行转账,服务热情|物品安全|码放到位|赔偿损失|搬运日期|延期通知|迟延费|搬运地点|装货清单|运输路线|车辆维修|检验货物|逾期收货|贵重物品|保险责任|责任负担|保密条款|通知方式|争议处理|不可抗力,本合同主体为委托人与承揽人，双方应确保企业身份合法存续。委托人及承揽人可通过法定代表人、委托代理人或经内部授权的授权代表签署本合同，所有签署人均应提供合法有效的授权证明。,本合同标的包括货物名称、货物数量及货物价值等具体内容，详见货物清单。标的物不得包含违禁品或危险品。所有货物应按照包装标准进行妥善包装，小件物品、文件资料及电脑连线等需特殊处理，并按要求集中堆放。,合同价款包括包装费、搬运费及车次费等费用。支付方式可采用现金支付或银行转账，定金应在合同签订后支付，余款支付以运输发票为依据。如发生违约，承揽人有权行使留置权，并收取相应保管费。,承揽人应保证服务热情，确保物品安全，并按约定搬运日期完成作业。货物应码放到位，装货清单需双方确认。运输路线应提前确定，车辆维修由承揽人负责。贵重物品需特别注明，保险责任及责任负担按约定划分。双方应遵守保密条款，通过约定通知方式沟通。如遇不可抗力或需延期，应及时通知并支付迟延费。检验货物及逾期收货按约定处理，争议处理及赔偿损失等事项依合同条款执行。,105,加工承揽合同--搬运合同,加工承揽合同,搬运合同,
20250331,26,26_北京市定作合同,865,定作人|承揽人|住所|执照|法人|代理|开户|账号|税号,定作物|规格|型号|单位|数量|材料|商标|厂家|质量|包装,报酬|单价|总价|定金|预付|结算|支付|汇款,检验|标准|方法|异议|技术|图纸|样品|工艺|保密|要求|协助|交付|期限|地点|验收|条件|留置|解除|通知|损失|违约|协商|调解|仲裁|诉讼|约定,本合同主体为定作人XX（住所：XX，营业执照号：XX，法定代表人XX）与承揽人XX（住所：XX，营业执照号：XX，法定代表人XX）。双方授权代理人XX办理相关事宜，开户银行为XX，账号为XX，税号为XX。,本合同标的为定作物，具体包括规格为XX、型号为XX的产品，计量单位为XX，数量为XX。产品采用XX材料制造，商标为XX，生产厂家为XX。质量要求符合XX标准，包装方式为XX。,合同总价款为XX元，其中单价为XX元/单位。定作人应于合同签订后支付定金XX元，预付XX元。剩余款项采用XX方式结算，通过汇款支付至承揽人指定账户。,产品检验按XX标准执行，采用XX方法。如有异议应在XX日内提出。技术参数以图纸XX和样品XX为准，工艺要求为XX。双方应遵守保密约定，定作人需提供必要协助。交付期限为XX，地点为XX。验收条件为XX。如发生违约，可行使留置权或解除合同，损失赔偿按约定执行。争议解决优先协商，协商不成可调解、仲裁或诉讼。,85,加工承揽合同--定做合同,加工承揽合同,定做合同,
20250331,27,27_印刷长期合作合同书,1750,需方|供方|厂商|甲方|乙方|委托|加工|订货|生产|供应|验收|交货|签字|盖章|代表,印刷品|纸品|规格|数量|工艺|用料|尺寸|纸张|质量|样张|菲林|物料|技术|商标|印件,单价|金额|总价|付款|定金|发票|费用|损失|赔偿|返工|报销|对价|支付|扣款|结算,交货|验收|签字|确认|变更|校对|校稿|批注|重做|更换|计划|安排|生产|交付|逾期|解除|返工|报废|保留|样张|胶片|侵权|修改|调整|拒收|顺延|核对|标准|核实|核实,本合同由需方（甲方）与供方（乙方）共同签订。甲方负责委托加工、订货，乙方负责生产供应。双方授权代表签字盖章后生效。乙方作为厂商需按甲方要求进行加工生产，甲方有权对交货进行验收。,本合同标的为印刷品及纸品，包括但不限于各类规格、尺寸的印件，采用特定工艺和用料制作。标的物需符合约定的纸张质量和技术标准，并提供样张、菲林等物料作为验收依据。所有印件需符合商标使用要求，不得存在侵权问题。,合同价款以单价计算总金额，甲方需按约定支付定金。结算时乙方应提供正规发票，费用包括生产成本及可能的返工费用。若因乙方原因造成损失需赔偿，甲方有权扣款。支付方式为分期付款，最后一期货款在验收合格后支付。,交货需按计划安排生产，按时交付。验收时需核对样张标准，双方签字确认。允许合理变更和调整，但重大修改需重新校稿批注。若出现质量问题，乙方需承担重做、更换或报废责任。逾期交货可顺延，严重违约可解除合同。验收不合格甲方有权拒收，返工费用由责任方承担。,108,加工承揽合同--印刷合同,加工承揽合同,印刷合同,
