文件ID,模版名称,关键词提取结果,关键词提取结果,关键词提取结果,关键词提取结果,关键词串联结果,关键词串联结果,关键词串联结果,关键词串联结果,合同类型,合同类型,上传时间,字数,篇幅,标准度得分,简短,详细
617c90804dcb4a8b93bbf734471a98b8,广州市网络交易（B2C）合同_919324130216513536,消费者|网络经营者,商品|服务|团购|食品,支付宝|网上银行|货到付款|原支付方式|商品价款|服务费用|运费,商品配送|服务消费|收货地址|签收时间|消费凭证|消费期限|消费地点|使用说明|质量要求|验收|退款|无理由退货|运费承担|发票|售后服务|个人信息保密|电子合同保存|团购起止时间|成团人数|退货期限,本合同的主体为消费者与网络经营者，双方应按照约定履行各自的权利和义务。,本合同涉及的标的包括商品、服务、团购及食品等，具体内容根据双方协商确定。,合同价款包括商品价款、服务费用及运费等，支付方式可选择支付宝、网上银行、货到付款或原支付方式等。,合同交易条款涵盖商品配送、服务消费、收货地址、签收时间、消费凭证、消费期限、消费地点、使用说明、质量要求、验收、退款、无理由退货、运费承担、发票、售后服务、个人信息保密、电子合同保存、团购起止时间、成团人数及退货期限等具体事项。,买卖合同,电子商务合同,,1942,,120,请帮我起草一份广州市网络商品交易（B2C）合同，适用于消费者与网络经营者之间的商品服务交易。,需要一份广州市B2C网络商品交易合同模板，合同需明确消费者（甲方）与网络经营者（乙方）的权利义务，包含商品服务内容、团购规则（如成团人数、退款机制）、付款方式（支付宝、网银等）、商品配送及服务消费细节、质量验收标准、7日无理由退货条款、违约责任（如违约金比例、欺诈赔偿）、个人信息保护要求，以及争议解决方式（仲裁或诉讼）。合同需支持电子签署且与纸质版同等效力，乙方需保存电子合同至少两年并提供查询下载功能。
dbe9d59c776f4041bfbdddddfc989f28,广州市物业服务合同_919325001402814464,业主委员会|物业服务人|开发建设单位|专营服务单位|使用单位,物业服务|共用部位|共用设施|清洁卫生|公共绿化|公共秩序|车辆停放|装饰装修|应急预案|垃圾分类,包干制|酬金制|预收标准|滞纳金|银行托收|微信支付|支付宝|年度预决算|季度公布|车位租金,承接查验|资料移交|共用部位查验|共用设施查验|物业验收|物业服务用房|专项服务委托|服务方案|服务质量|收费标准|费用调整|车位管理|会所经营|广告经营|公共收入|维修资金|共有资金|安全保障|隐患排查|投诉处理|租赁备案|装修管理|应急处理|公共水电|专户管理|信息公示|电子投票|安全警示|整改措施|维修养护,合同主体包括业主委员会、物业服务人、开发建设单位、专营服务单位及使用单位，各方需明确各自的权利义务。,本合同涉及的物业服务包括对共用部位、共用设施的维护管理，清洁卫生服务，公共绿化的养护，公共秩序的维护，车辆停放管理，装饰装修监管，以及应急预案的制定和垃圾分类的实施。,合同价款可采用包干制或酬金制，预收标准需明确，支付方式包括银行托收、微信支付、支付宝等，涉及滞纳金、年度预决算、季度公布及车位租金等财务事项。,合同交易条款涵盖承接查验、资料移交、共用部位及设施查验、物业验收、物业服务用房管理、专项服务委托、服务方案与质量标准、收费标准与费用调整、车位与会所经营、广告经营与公共收入分配、维修资金与共有资金管理、安全保障与隐患排查、投诉处理与租赁备案、装修管理、应急处理、公共水电管理、专户管理、信息公示、电子投票、安全警示、整改措施及维修养护等内容。,物业服务合同,物业管理服务合同,,13479,,113,需要一份广州市物业服务合同，用于业主委员会选聘物业服务公司，规范双方权利义务。,请起草一份广州市物业服务合同，甲方为业主委员会，乙方为物业服务公司。需包含物业基本情况、承接查验流程、服务内容与质量标准、物业服务费计价方式（包干制或酬金制）、公共收益管理、共有资金账户设置、违约责任、合同终止条件等条款，并符合广州市住建局及市监局的要求。同时需明确垃圾分类管理、幕墙维护责任、停车位经营、应急事件处理等细节，附物业平面图、共用设施清单及服务方案等附件。
b4bc934156f54cb6b14f2d38117a08df,广州市芋头买卖合同_919324333275353088,买方|卖方|经营者|农户,芋头|清洁干净|不带泥土,定金|货款|即时结清|支付延迟|逾期支付,送货|提货|检测机构|检验标准|检验地点|包装方式|包装物|费用承担|交货时间|质量要求|重新协商|气候因素|不可抗力|价格调整|数量补齐|超出部分|接收选择,合同主体包括买方、卖方、经营者及农户。,本合同标的为芋头，要求清洁干净且不带泥土。,合同价款与支付涉及定金、货款，可选择即时结清或存在支付延迟的情况，逾期支付将承担相应责任。,合同交易条款涵盖送货或提货方式，检测机构及检验标准、地点，包装方式及包装物费用承担，交货时间及质量要求。若遇气候因素或不可抗力，双方可重新协商价格调整或数量补齐，超出部分由买方选择接收与否。,买卖合同,农副产品购销合同,,1177,,115,我需要一份广州市芋头买卖合同模板，涵盖品种、质量、交付和付款等基本条款。,请起草一份芋头买卖合同，需明确买卖双方信息，芋头需清洁不带泥土，质量按有机、绿色、地方标准等选项约定，包装责任方及费用承担，交货方式选送货或自提，付款支持即时结清、分批支付或定金抵扣，验收需当日完成，价格随市场波动可重新协商，违约条款包含质量调换、延迟赔偿、逾期违约金，争议解决可选仲裁或诉讼。
2af78310645c46fbbad38982be6eb0e3,广州市住房租赁合同_919326004504170496,出租人|承租人|房地产经纪机构|经纪人,房屋坐落|建筑面积|使用面积|权属状况|居住人数,租金|押金|月结|收据|无息返还,房屋交付|钥匙移交|费用承担|维修责任|转租限制|优先购买|装修约定|设备清单|租金调整|费用明细|备案手续|物品处理|交验程序|腾退要求|使用限制|损耗维修|书面同意,出租人、承租人、房地产经纪机构及经纪人作为合同主体，各自承担相应权利与义务。,本合同涉及的房屋坐落于指定位置，建筑面积和使用面积明确记载，权属状况清晰，居住人数需符合约定要求。,租金和押金的支付方式为月结，出租人需提供收据，押金在合同终止时无息返还。,房屋交付时需完成钥匙移交，明确费用承担和维修责任，转租需遵守限制条款，承租人享有优先购买权。装修约定和设备清单需双方确认，租金调整和费用明细应提前通知。备案手续需依法办理，物品处理和交验程序按约定执行，腾退要求和使用限制需严格遵守。损耗维修责任明确，任何变更需取得书面同意。,租赁合同,房屋租赁合同,,3876,,114,我要在广州出租住房，请帮我起草一份住房租赁合同,请起草一份广州市住房租赁合同，需包含房屋地址、面积、权属证明及居住人数限制，明确租赁期限（不超过20年）、月租金支付时间及押金标准（2个月租金），规定房屋维护责任（自然损耗由甲方维修，人为损坏由乙方赔偿）、转租需书面同意、优先购买权条款、单方解约条件及违约金（双倍月租金），并注明租赁备案流程及争议解决方式（仲裁或诉讼）。需附房屋平面图及交接清单模板。
a9d97f942db0407094d8edc8db3ac0b8,广州市展销会参展合同_919324135341953024,举办方|参展方,展会名称|展会地点|展位总数|展位面积|参展商品|布展时间|举办日期|展销时间,展位费|广告费|保洁费|安全费|合计金额|付款方式|付款时间,展位编排|展位设施|安全知识|防盗防火|对外宣传|宣传资料|知识产权|虚假宣传|经营资格|经营环境|经营产品|展位变更|配套设施|违约责任|产品安全|展位转让|食品管理,合同主体包括举办方与参展方，双方共同约定展会的举办与参与事宜，明确各自的权利与义务。,本合同标的涉及展会名称、展会地点、展位总数、展位面积、参展商品、布展时间、举办日期及展销时间等具体内容，明确了展会的规模、时间安排及参展商品范围。,合同价款与支付部分涵盖展位费、广告费、保洁费、安全费等费用，合计金额、付款方式及付款时间等支付条款，确保费用支付的透明与及时性。,合同交易条款包括展位编排、展位设施、安全知识、防盗防火、对外宣传、宣传资料、知识产权、虚假宣传、经营资格、经营环境、经营产品、展位变更、配套设施、违约责任、产品安全、展位转让及食品管理等，全面规范展会期间的各项交易行为及责任。,租赁合同,场地租赁合同,,1250,,105,需要一份广州市展销会参展合同模板，明确举办方与参展方的权责。,请起草一份展销会参展合同，需包含展会名称、地点、时间、展位配置及收费标准；明确甲方需负责安全宣传、场地设施及检查乙方经营资质，乙方不得转让展位或销售假冒侵权产品；约定违约金比例、付款方式及争议解决条款，涉及食品等产品需附加安全管理责任书。
8b5a2dc3f3924b90b060f757bc4d0eca,广州市网络交易平台经营服务合同_919325797267804160,网络交易平台经营者|网上店铺经营者|消费者,网络交易平台|网上店铺|增值服务|商品销售|服务提供,基础服务费|销售服务费|增值服务费|保证金|银行划转|网上银行|现金支付|第三方支付|年度支付|首期费用,服务内容|合同生效|合同期限|保证金|先行赔付|平台运行|数据安全|信息审查|区分标记|协议修改|纠纷解决|终止公示|协助执行|信息公开|质量保证|保密义务|违约金,合同主体包括网络交易平台经营者、网上店铺经营者及消费者，明确各方权利与义务。,本合同涉及网络交易平台的运营，包括网上店铺的开设与管理，提供商品销售及增值服务等内容。,合同价款涵盖基础服务费、销售服务费及增值服务费，支付方式包括银行划转、网上银行、现金支付及第三方支付，费用可按年度支付或分期支付首期费用。,合同交易条款包括服务内容、合同生效与期限、保证金管理、先行赔付机制、平台运行与数据安全、信息审查与区分标记、协议修改流程、纠纷解决机制、终止公示程序、协助执行义务、信息公开要求、质量保证承诺、保密义务及违约金规定。,服务合同,网络服务合同,,3142,,115,需要一份广州市网络交易平台经营者与入驻商家之间的服务合同模板,起草一份网络交易平台经营服务合同，需明确甲方（平台方）提供的基础服务（独立网店、后台系统）和可选增值服务（仓储、配送、培训等），规定合同生效条件（纸质签署或线上确认+保证金支付），约定年度服务费结构、保证金赔付规则、双方权责（平台数据安全/商家资质审核）、违约金条款及争议解决方式（广州仲裁或法院诉讼），适用于广州地区网络交易平台与店铺经营者合作场景
90cb180da3cf4281a26e45014e0ba4fb,广州市住宅室内装饰装修工程施工合同_919325171339235328,发包人|承包人|委托代理人|设计负责人|施工负责人|项目经理|监理公司|监理工程师,住宅装修|室内装饰|装修工程|工程地址|住房结构|套内面积|户外面积|工程内容|承包方式|工期天数|合同价款|增项减项,工程造价|工程款|结算款|预付款|进度款|余款|发票|支付方式|违约金|增项费用|减项费用|实际结算|付款期限,施工图纸|材料验收|工程变更|工期顺延|质量标准|隐蔽工程|竣工验收|保修期限|水电保修|垃圾清运|邻里纠纷|施工条件|材料保管|现场整洁|消防保卫|设计变更|材料损耗|停工补偿|工程监督|材料超标,合同双方为发包人与承包人，涉及委托代理人、设计负责人、施工负责人及项目经理等角色。监理公司与监理工程师负责工程监督，确保施工质量与进度符合约定。,本合同涉及的住宅装修工程包括室内装饰及相关装修工程内容，工程地址明确，住房结构及套内面积、户外面积均有详细说明。承包方式为全包，工期天数已确定，合同价款包含增项减项的具体条款。,工程造价明确，工程款分为预付款、进度款及余款，支付方式及付款期限已约定。发票开具及违约金条款完备，增项费用与减项费用以实际结算为准。,施工图纸及材料验收标准已确认，工程变更需双方协商。工期顺延条件、质量标准及隐蔽工程验收流程明确。竣工验收后提供保修期限，水电保修及垃圾清运责任划分清晰。施工条件、材料保管及现场整洁要求严格，消防保卫措施到位。设计变更、材料损耗及停工补偿条款完备，工程监督由监理方负责。,建设工程合同,施工合同,,4279,,125,我需要一份广州市住宅室内装饰装修工程施工合同模板，用于自家房屋装修。,请起草一份住宅室内装饰装修合同，需明确甲乙双方责任，包括工程内容、承包方式（包工包料或部分包料等）、工期、付款方式、材料验收标准、隐蔽工程验收流程、保修条款等。要求涵盖施工规范、违约责任、争议解决方式，并符合广州本地法规及建筑行业标准，附工程报价单和保修单模板。
9dd97f04fa1742248c5d8be23939a026,广州市衣物洗涤（议价）服务合同_919324841125875712,供应商|采购方|制造商|经销商|代理商,产品|服务|规格|数量|质量,总价|首付|尾款|转账|支票|分期|现金|定金,交货|验收|包装|运输|安装|调试|培训|保修|维护|技术支持|售后服务|退换货|延期|赔偿|变更|终止|续约,合同主体包括供应商、采购方、制造商、经销商及代理商等各方，需明确各自的权利与义务。,本合同涉及的标的包括产品与服务，具体规格、数量及质量要求需在合同中明确约定。,合同价款与支付条款涵盖总价、首付、尾款等支付方式，可通过转账、支票、分期或现金等形式完成，同时需明确定金支付要求。,合同交易条款包括交货、验收、包装、运输、安装、调试、培训、保修、维护、技术支持、售后服务、退换货、延期、赔偿、变更、终止及续约等具体交易细节。,承揽合同,加工合同,,952,,125,我需要一份合同模板，请根据我的需求生成。,请起草一份通用合同模板，合同需包含甲方、乙方等主体信息，并明确双方的权利义务。条款需涵盖合同标的、价格与支付方式（如分期或一次性）、履约期限、违约责任及争议解决条款。要求使用清晰的自然语言表述，结构完整，关键条款加粗提示，字数控制在两页以内。
387a4d0ec7344aa08958f18141b66cf5,柜台租赁经营合同_919323642922274816,出租人|承租人|商业企业|个体工商户,柜台|设施|物业服务|商位|铺位,租金|支付方式|支付期限|租金总额|违约金,租赁期限|交付时间|验收|用途|维修义务|改善|增设他物|转租|权利义务|营业执照|税务登记|经营许可|管理制度|进货查验|假冒伪劣|虚假宣传|安全设施|卫生设施|供暖设施|消防设施|显著位置|诚信经营|自主经营|追偿权|赔偿损失|解除合同|租金减免|所有权转移|毁损灭失|优先权|检查权|报告权|配合查处,合同签订双方为出租人与承租人，其中承租人可能是商业企业或个体工商户，双方需依法履行各自权利义务。,本合同涉及的标的物主要包括商业经营所需的柜台、设施及物业服务，同时明确约定了商位或铺位的具体使用范围及条件。,合同价款部分详细规定了租金金额、支付方式及支付期限，并明确了租金总额的计算方式，同时约定了违约金条款以保障履约。,交易条款涵盖租赁期限、交付与验收标准、用途限制及维修义务，同时包含转租条件、营业执照办理要求、安全卫生设施维护等经营性条款，并约定了租金减免、合同解除及优先权等特殊情形处理机制。,租赁合同,经营租赁合同,,2642,,125,我需要一份柜台租赁经营合同模板，用于出租固定柜台给其他商户使用。,请起草一份柜台租赁经营合同，合同双方为出租人（商业企业或个体户）和承租人，租赁内容包括固定柜台、设施及物业服务，需明确租赁期限（不超过20年）、租金标准与支付方式、柜台用途、交付与验收方式、维修责任划分、转租条款、双方权利义务（如出租人收取租金、制定管理制度，承租人守法经营、悬挂证照等）、违约责任（逾期交付、未交租金等处理）及争议解决方式。合同需符合《合同法》规定，生效条件为双方签字，一式多份。
1aa43f3a4fc34adb8e5c608136ae7dad,贵州省农村土地承包经营权入股流转合同_919323901278818304,集体经济组织|农业生产经营|合作经营|折算股权,土地承包|经营权|入股面积|入股地块|承包期限,分红方式|保底标准|一次性分红|固定分红|阶梯式分红|收益分红|支付时间,土地交付|验收交接|权属清晰|合法有效|监督使用|保护土地|合理利用|不得破坏|不得闲置|生态环境|水系道路|建筑设施|集体资产|征收征用|补偿归属|基础设施|恢复耕地,合同主体包括集体经济组织与农业生产经营者，双方通过合作经营方式将土地承包经营权折算股权进行合作。,本合同涉及土地承包经营权入股，明确了入股面积和具体入股地块的范围，并规定了承包期限的具体年限。,合同价款与支付条款详细约定了分红方式，包括保底标准、一次性分红、固定分红、阶梯式分红以及收益分红，并明确了支付时间。,合同交易条款涵盖了土地交付与验收交接的要求，确保权属清晰且合法有效。同时规定了监督使用、保护土地、合理利用的义务，禁止破坏或闲置土地。此外，条款还涉及生态环境、水系道路、建筑设施的保护，明确了集体资产在征收征用时的补偿归属，以及基础设施的维护和耕地恢复的责任。,农村土地承包经营权流转合同,入股合同,,2867,,115,我需要一份贵州省农村土地承包经营权入股流转的合同模板，用于农户与合作社或企业合作经营土地。,请起草一份农村土地承包经营权入股流转合同，需明确甲方（农户）将土地承包权折算股权入股给乙方（合作社/企业），包含土地基本信息、入股期限、分红方式（固定或阶梯式）、双方权利义务、土地交付流程、特殊情况处理（如征地补偿）、违约责任及争议解决条款，要求符合贵州省农业委员会和工商局规范，并支持多选或自定义合作模式。
95198f597c734df885786e4311e7989d,贵州省商品房买卖合同（贵州省2022版）_919325162178875392,出卖人|买受人|法定代表人|代理人|注册地址|营业执照|资质证书|预售许可证|现售备案|抵押权人,商品房|建筑面积|套内面积|层高|共用部位|共用设施|质量缺陷|住宅维修资金|房屋登记|民用建筑节能,总价款|单价|首付款|分期付款|贷款方式|银行按揭|公积金贷款|违约金|利息|退款,交付时间|交付条件|验收交接|质量保修|规划设计变更|面积差异|装修标准|配套设施|公共服务设施|商业配套|建筑隔声|节能措施|前期物业|共有权益|销售承诺|广告宣传|争议解决|房屋平面图|共用部位说明|抵押情况|租赁情况,合同主体包括出卖人和买受人，双方可由法定代表人或代理人签署。出卖人需提供注册地址、营业执照、资质证书及预售许可证或现售备案证明。涉及抵押的需列明抵押权人信息。,本合同涉及的标的物为商品房，包括建筑面积和套内面积的具体约定，层高需符合国家标准。共用部位和共用设施的使用及维护责任明确，质量缺陷的处理方式及住宅维修资金的缴纳规定。房屋登记流程及民用建筑节能要求均需遵守相关法规。,合同总价款及单价明确约定，支付方式包括首付款、分期付款或贷款方式（如银行按揭、公积金贷款）。违约金及利息计算标准、退款条件等条款需详细列明。,交付时间和条件、验收交接流程、质量保修责任、规划设计变更处理、面积差异补偿方式、装修标准及配套设施要求均需明确。公共服务设施和商业配套的交付标准，建筑隔声及节能措施需符合规定。前期物业服务、共有权益分配、销售承诺及广告宣传的约束条款，争议解决机制均需约定。房屋平面图、共用部位说明、抵押及租赁情况需作为附件列明。,买卖合同,房屋买卖合同,,18377,,125,需要一份贵州省的商品房买卖合同模板，适用于商品房预售或现售，包含基本条款和双方权利义务。,请起草一份贵州省的商品房买卖合同示范文本，需包含预售许可证备案要求、商品房基本信息（位置、面积、规划用途）、价款计算方式（套内面积或按套计价）、付款方式（一次性/分期/贷款）、交付条件（竣工证明、配套设施）、面积差异处理、质量保修条款、房屋登记流程、前期物业管理约定及争议解决机制，同时要求附带房屋平面图、共用部位说明、抵押情况证明等12个附件，确保符合贵州省住建厅和市场监督局的最新格式规范。
5d21c4aaeef74e3ba0d9fb6583d08447,贵州省养老机构服务合同（贵州省2023版）_919324832783405056,养老机构|入住老年人|老年人家属|监护人|担保人|委托代理,养老服务|住宿房屋|生活照料|康复护理|精神慰藉|文化娱乐,床位费|护理费|伙食费|空调费|取暖费|被褥费|会员费|质押金|按月支付|按季支付|预收费用|退款账户|发票开具|费用明细|无息退款,服务内容|服务地点|收费标准|费用公示|入住登记|体检报告|护理等级|服务项目|设施设备|健康档案|隐私保护|安全规范|应急预案|消毒清洗|食品安全|营养平衡|服务调整|房间变更|费用调整|服务监督|服务终止|安置方案|信息更新|入住须知|文明规范|安全防范|健康生活|和谐相处|责任承担,本合同的主体包括养老机构、入住老年人、老年人家属、监护人、担保人及委托代理等相关方，确保各方权益得到明确界定和法律保护。,本合同涉及的养老服务包括住宿房屋、生活照料、康复护理、精神慰藉以及文化娱乐等服务内容，旨在为入住老年人提供全面的生活支持和健康保障。,合同价款涵盖床位费、护理费、伙食费、空调费、取暖费、被褥费、会员费及质押金等费用，支付方式可选择按月支付、按季支付或预收费用，同时明确退款账户、发票开具、费用明细及无息退款等财务条款。,合同交易条款详细规定了服务内容、服务地点、收费标准及费用公示等基本事项，同时包括入住登记、体检报告、护理等级、服务项目、设施设备等具体服务要求，并涵盖健康档案、隐私保护、安全规范、应急预案、消毒清洗、食品安全、营养平衡等健康与安全条款，以及服务调整、房间变更、费用调整、服务监督、服务终止、安置方案等变更与终止条款，最后明确信息更新、入住须知、文明规范、安全防范、健康生活、和谐相处及责任承担等行为规范与责任划分。,服务合同,养老服务合同,,11724,,125,需要一份养老机构与入住老人及家属的服务合同模板，明确各方权利义务和服务内容。,请起草一份贵州省养老机构服务合同，需包含机构、入住老人及家属/监护人的三方责任，涵盖服务内容（生活照料、康复护理等）、收费标准（床位费、护理费、伙食费等）、入住评估流程、风险告知、费用支付方式（预付费、质押金管理）、合同变更解除条件、争议解决等条款，符合贵州省备案要求及预收资金管理规范，确保老人权益和机构合规运营。
230e8ccedfe84cd3b745c680331ca16b,国内快递服务协议_919324831269261312,寄件人|收件人|快递组织|单位,快件|内件|保价|封装,资费|保价费|包装费|加急费|现金|协议结算,验视|签章|查询|延误|毁损|灭失|赔偿|送达|登记|签收|代签|禁寄|易碎|加急|保价|封装|资费|付款|条款|声明|备注|签收|证件|验视|签章|查询|延误|毁损|灭失|赔偿|送达|登记|签收|代签|禁寄|易碎|加急|保价|封装,本合同的主体包括寄件人、收件人、快递组织及相关单位，各方需明确自身权利义务。,本合同涉及的标的物主要包括快件及其内件，寄件人可选择对快件进行保价，并需按照要求进行封装以确保运输安全。,合同价款涵盖资费、保价费、包装费及加急费等费用，支付方式可为现金或协议结算，具体条款需明确约定。,合同交易条款包括验视、签章、查询、延误、毁损、灭失、赔偿、送达、登记、签收、代签等环节，同时涉及禁寄物品、易碎品、加急服务、保价及封装要求，各方需严格遵守相关条款与声明。,服务合同,快递服务合同,,1759,,95,请起草一份国内快递服务协议，明确寄件人与快递服务组织的权利义务。,请起草一份国内快递服务合同，需包含寄件人信息填写规范、快递公司收寄验视责任、保价服务选项、延误及物品损坏的赔偿标准、免责条款、快件送达确认方式。要求明确未保价快件赔偿限额计算方式，注明费用结算形式（现金/协议），规定收件时需登记有效证件及签章流程，并设置一年内查询服务期限。
7838969623aa45a3a8af11d9bb69a96c,国内旅游组团社与地接社合同_919324014021709824,组团社|地接社|旅行社|分社|旅游辅助|导游|客运经营者|旅游者|第三方|保险机构,旅游者|接待服务|游览行程|交通安排|住宿标准|餐饮标准|购物次数|自由活动|导游要求|另行付费|接待计划|旅游团|参观游览|服务项目|行程调整,接待费用|结算方式|支付期限|财务确认|结算单据|团款基数|违约金|赔偿标准|费用垫付|责任保险|承运保险|意外保险|退款处理|费用分担|损失赔偿,接待标准|行程安排|服务要求|车辆资质|司机资质|安全警示|救助措施|投诉处理|证据收集|责任划分|质量测评|动态通报|信息反馈|商业秘密|合并接待|转交第三方|行程延误|行程更改|行程取消|服务合并|资质审查|保险购买|费用结算|损失防止|先行垫付|索赔协助,合同主体涵盖组团社、地接社、旅行社及其分社，旅游辅助服务提供方如导游和客运经营者，以及旅游者本人。此外，第三方合作机构和保险机构也可能作为相关方参与合同履行。,本合同涉及的标的包括旅游者的接待服务、游览行程安排、交通与住宿标准设定、餐饮服务规范、购物次数限制、自由活动时间分配、导游服务要求、另行付费项目说明以及接待计划的详细内容。旅游团的参观游览活动和服务项目安排均需明确约定，同时包含行程调整的相关条款。,合同价款部分明确接待费用的构成、结算方式（如分期或一次性支付）、支付期限要求及财务确认流程。结算单据需规范出具，团款基数作为计算依据，违约金和赔偿标准需列明。费用垫付机制、责任保险与承运保险的购买、意外保险覆盖范围以及退款处理和费用分担规则均在此部分约定，损失赔偿条款亦包含其中。,交易条款规定接待标准的具体要求、行程安排细节和服务质量规范，包括车辆与司机资质审查。安全警示措施、紧急救助方案、投诉处理流程及证据收集方法需明确。责任划分原则、服务质量动态测评与信息反馈机制需落实，商业秘密保护条款不可或缺。合并接待或转交第三方的情形、行程延误/更改/取消的处理方案、服务合并条件、保险购买义务、费用结算周期、损失防止措施、先行垫付规则及索赔协助义务均在此部分详细约定。,委托合同,服务委托合同,,3993,,125,我需要一份国内旅游组团社与地接社的合作合同模板，明确双方在接待游客过程中的责任、费用结算标准及服务质量要求。,请起草一份国内旅行社与地接社的合作合同，需涵盖双方资质确认、接待计划制定与变更规则、服务标准（交通住宿餐饮游览等）、费用结算周期及方式、违约责任（如擅自转团或未达服务质量）、纠纷处理流程、不可抗力条款，并确保符合旅游局和工商总局的规范要求，合同需支持多批次团队接待，与具体接待计划书配合使用。
95f3ddccf62d43da9d1e6f5d867e5a8c,哈尔滨市单位自建经济适用住房内销合同书_919324967894519808,出卖人|买受人|委托代理人|房产住宅局|工商局,经济适用住房|房屋平面图|建筑面积|套内面积|公共分摊|层高|阳台类型|结构类型,政府指导价|基准价格|一次性付款|分期付款|逾期付款|违约金|利息补偿,土地使用权|划拨方式|规划用途|建设工程证|施工许可证|验收合格|综合验收|交付条件|产权登记|面积差异|设计变更|交接手续|质量保证书|使用说明书|装饰标准|设备标准|基础设施|公共配套|屋面使用权|外墙面权|命名权|住宅用途|保修责任,本合同主体包括出卖人、买受人及委托代理人，相关监管机构如房产住宅局和工商局对合同履行具有监督职责。,本合同标的涉及经济适用住房，包括房屋平面图所示的建筑面积、套内面积及公共分摊部分。房屋层高、阳台类型及结构类型等具体参数均在合同中明确约定。,合同价款以政府指导价或基准价格为依据，支付方式可选择一次性付款或分期付款。逾期付款需承担违约金及利息补偿责任。,交易条款涵盖土地使用权划拨方式、规划用途及建设工程证、施工许可证等文件要求。房屋需通过验收合格及综合验收后方可交付，交付条件包括产权登记、面积差异处理及设计变更说明。交接时需提供质量保证书、使用说明书，并明确装饰标准、设备标准及基础设施要求。公共配套、屋面使用权、外墙面权及命名权归属需约定，住宅用途限制及保修责任亦在条款中载明。,买卖合同,经济适用房买卖合同,,11418,,115,需要起草一份哈尔滨市单位自建经济适用住房的内部销售合同模板，用于内部职工购房。,请制定一份单位自建经济适用房内部销售合同，需包含项目用地、销售许可证、房屋基本信息、政府指导价计价、面积误差处理规则、分期付款选项、逾期交房及付款责任、产权登记流程、基础设施承诺、装饰标准、产权纠纷责任、争议解决方式等内容，并明确买卖双方信息、附件条款及签署流程，确保符合哈尔滨市房产住宅局和工商局监管要求。
98cdde43560d4389bf6b8fbf238888a9,哈尔滨市客运出租汽车承包经营合同_919324145152430080,客运出租|承包经营|营运车辆|驾驶执照|从业资格,车型|颜色|车号|发动机号|车架号|行驶证|经营权证,承包费|按月收|现金缴|固定额|分段计,保险购买|费用承担|车辆维护|营运手续|驾驶员聘|事故处理|投诉受理|车辆调度|年审办理|发票提供|标识清晰|服务规范|安全行车|文明创建|违规处理|转包限制|抵押禁止,本合同主体涉及客运出租业务，采用承包经营模式，涵盖营运车辆的管理，要求驾驶员具备有效的驾驶执照和从业资格。,本合同涉及的标的物包括具体车型、车身颜色、车牌号码、发动机编号、车架号码以及相关证件如行驶证和经营权证等。,合同价款部分明确规定了承包费用的具体金额，支付方式为按月收取，可通过现金缴纳，费用计算采用固定额度或分段计价方式。,合同交易条款包括保险购买责任、各项费用承担方、车辆维护要求、营运手续办理、驾驶员聘用条件、事故处理流程、投诉受理机制、车辆调度安排、年审办理义务、发票提供责任、车辆标识清晰度、服务规范标准、安全行车要求、文明创建参与、违规处理措施、转包限制条款以及抵押禁止规定等。,承包合同,经营承包合同,,4101,,115,我需要一份哈尔滨市客运出租汽车承包经营合同模板，用于将出租车承包给他人运营，需包含车辆信息、承包费用和双方责任条款。,请帮我起草一份出租车承包合同，甲方是车辆所有者，提供营运车辆和经营权；乙方是承包方，需具备驾驶资格。合同需明确车辆型号、牌照、保险责任、承包费缴纳方式（按月或分期），包含担保条款（抵押或保证）、车辆维护责任划分、事故处理流程，以及单方解除合同的条件（如欠费或非法使用）。另需注明争议解决途径和政府政策变更时的处理方式。
