序号,模版类型,模版名称,模版语句
55,,船舶买卖合同,"合同标的：“本合同所涉及的标的为一艘船舶，具体信息如下：船名、船型、船籍、船级，总长、船宽、船深、总吨、净吨、载重吨，建造厂家及建造年月均需明确；此外，需提供船舶登记号、登记地点及登记吨位等相关信息。”  

合同主体：“本合同的主体为买方和卖方，双方需明确各自的法定代表人及委托代理人，并提供开户银行及相关账号信息，以确保交易顺利进行。”  

合同价款与支付：“合同标的的价款需明确，支付方式可为一次性支付或分期付款，具体金额可以以人民币或美元结算；如涉及预付款或保证金，需明确比例及支付时间；交付事项需严格按照合同约定进行。”  

合同交易条款：“合同交易条款包括但不限于船舶检查、交接船舶的移交时间及相关动态，交船手续需提供船籍证书、所有权证书及注销登记文件；移交港地点需明确，同时船舶注册、燃料、润滑油及备用品的交接需在交接协议中具体约定；若涉及税赋，双方需明确承担责任。”  "
58,,航次租船合同,"合同标的：“本合同涉及船舶相关事项，船舶的基本信息包括船舶名称、船级、登记船东、总吨、净吨、载重吨、夏季干舷、总长、型宽、舱容、吊杆和二层甲板。”

合同主体：“本合同的主体包括出租方、承租方以及船东，各方在合同履行中承担相应的权利与义务。”

合同价款与支付：“本合同涉及的价款条款包括运费、包干运费的支付方式，按净重、毛重或立方米计费。支付需在银行工作日内完成，可能涉及滞期费、速遣费，以及相关税费和规费的承担。”

合同交易条款：“合同交易条款涵盖了受载期的具体安排、装货港与卸货港的确定、必须为安全港口及安全泊位的要求、装货率与卸货率、装卸时间及其计算方法，以及班轮条件、装货结束和卸货结束的标准。条款还涉及代理、佣金、仲裁的处理方式，并明确引用了金康合同及特别条款的适用。”"
62,,北京市工程设计合同,"合同标的：“本合同所涉标的为某项工程设计工作，包括工程名称、工程地址及工程编号等信息。设计任务涵盖了各个设计阶段，具体包括设计内容的规划、设计文件的准备、设计规模的确认以及设计投资的预算。最终成果将提供施工图设计，确保工程建设顺利进行。”  

合同主体：“本合同的参与主体包括委托单位、设计单位及建设单位。双方依据城乡规划相关要求及规划委员会的指导进行合作，并遵守工商行政管理局的相关规定，以确保合同合法合规。”  

合同价款与支付：“设计收费依据双方协商确定的设计费收费标准执行。支付方法包括定金支付、阶段性拨款及赶工费的结算等，特殊情况下可能涉及增收金额调整。最终设计费用将根据设计概算进行核算和结算，以保障各方权益。”  

合同交易条款：“设计单位需按照合同要求按时提交设计资料，提交日期及份数需提前明确。设计成果包括初步设计、现场设计及相关技术合同内容，并配合报批工作及施工期间的技术支持。设计单位需提供必要的工作条件和文件提交，确保经济效益和使用要求的达成。在竣工验收时，如需修改数据或解决技术问题，设计单位应及时响应。”  "
65,,国际技术服务合同,"合同标的：“本合同的标的是由技术服务相关的工作内容组成，包括工程师和技术人员组成的服务组在工地进行技术支持，涉及设备操作、办公设施的使用以及医疗相关服务。合同还要求提供必要的劳保用品和保险服务，以保障工作的顺利开展和人员安全。”

合同主体：“本合同由甲方与乙方双方签订，甲方与乙方均为在中国合法注册的公司。双方需提供见证人、签字人及明确的职务信息，以确保合同的合法性和有效性。”

合同价款与支付：“本合同涉及的技术服务费用为技术费，支付方式包括免税处理，可选择以美元、英镑或国币结算。支付方式可以通过汇票或电汇完成，款项需汇至指定账户。合同还可能涉及奖金的发放，根据服务的具体情况另行约定。”

合同交易条款：“合同明确规定了住宿、交通、医疗等相关保障条款，并保障技术人员在工作期间享有假日、休假和事假的权利。如因特殊情况需要换人或替换，双方需提前沟通。考虑工伤等意外情况，合同包含抚恤金及补偿条款。同时，乙方需协助甲方员工办理签证及居住许可。如发生争议，双方可通过仲裁解决。”"
68,,国际技术转让合同,"合同标的：“本合同标的为专有技术、合同产品及相关技术资料，包括但不限于样机、铸件、备件、蓝图、标准等内容，同时涉及技术服务与技术培训等支持工作。合同标的还包括商标、许可证及专利相关事项，必要时提供设备咨询以及返销产品。”

合同主体：“本合同的主体为转让方与受让方，双方均为依法成立的公司。转让方负责技术转让及相关服务，受让方为合同产品的购买商及相关技术的受让方。合同的具体执行由双方的法定代表人及技术人员负责，销售商也可能参与部分交易环节。”

合同价款与支付：“合同价款包括入门费与提成费，具体金额以美元计价。支付方式通过汇票或商业发票完成，相关文件包括空运提单及银行费用证明。支付条件基于销售量、提成基价及返销金额计算，若有延期付款需另行协商。税费及许可证费用也需纳入支付范围。”

合同交易条款：“合同交易条款涵盖技术转让及相关资料交付内容，需通过质量验收及考核试验。样机交付、包装运输及销售出口需符合约定标准，同时包括商标许可、专利清单及商标使用条款。为确保产品质量，需进行抽样试验及产品验收，并提供技术咨询与销售报告。任何改进修改需经双方同意后实施。”"
72,,安全标识牌定做合同,"合同标的：“本合同标的为安全标识牌的定做服务，甲方需提供设计样本、图稿及明确的材质、尺寸、数量等要求，由乙方根据甲方需求设计并生产相关产品。合同履行过程中，乙方需按照样品和设计方案完成制作。”

合同主体：“本合同双方主体为甲方与乙方，双方需明确各自的经办人及联系人，提供具体的地址和联系电话，以确保合同履行过程中有效沟通和联络。”

合同价款与支付：“合同涉及的货款以人民币结算，甲方需支付订金，余下余额在货物验收合格后支付。乙方需提供合法发票。若发生暂停或终止情形，双方应协商处理相关费用结算。”

合同交易条款：“货物交货地点和日期由双方约定，并以签字确认的方式作为依据。乙方需确保产品符合质量检验标准，如因质量问题或校对错误导致侵权、责任或经济损失，乙方需承担相应责任。甲方有权要求调换、重做或退货。因延误交货或其他问题，双方需协商解决，必要时可依据附件条款解除合同。”"
75,,搬运承揽合同,"合同标的：“本合同标的为货物的搬运服务，涉及物品的清单、包装、数量及价值。搬运过程中将使用指定的设备和车辆进行运输，以确保货物的安全和完整。”  

合同主体：“本合同的主体为委托人和承揽人，双方可通过授权代理人进行合同的签订和执行，相关企业的法定代表人需对合同条款承担相应责任。”  

合同价款与支付：“本合同涉及的费用将根据估价进行结算，支付方式包括预付定金及尾款支付，承揽人需向委托人提供合法发票。若有附加收费事项，需事先协商并明确约定。”  

合同交易条款：“搬运服务应按照约定的日期和地点进行，使用符合要求的车辆完成装卸和运输作业。承揽人应负责货物的检验、安全、保险及保管，确保货物不发生损毁或丢失。运输路线应提前协商，相关费用以合同约定为准。”  "
78,,加工承揽合同,"合同标的：“本合同所涉及的标的包括加工成品、原材料以及相关的技术资料和图纸，具体为定作物的生产和提供。”  

合同主体：“本合同的主体包括承揽方和定作方，双方依据合同约定共同完成相关工作。”  

合同价款与支付：“合同价款包括定作物的价款和承揽方的酬金，支付方式可以为定金、预付款或其他约定形式，双方在完成工作后进行结算。”  

合同交易条款：“定作物的验收、交货、提货需依约定的期限、地点、方法和标准进行，产品的包装、运输、保管、保养由相关方负责。在出现问题时，可采取修整、调换、重作或返修等方式解决。”  "
82,,北京市职业技能培训服务合同,"合同标的：“本合同约定的标的是职业技能培训服务，包括特定的培训项目、培训课时、培训地点和培训类型。培训方式可以为线上培训或线下培训，所使用的培训教材和培训师资由培训机构提供。”

合同主体：“本合同的主体为培训机构和消费者，其中消费者可以是学员或劳动者。培训机构应具备相应的教师资格和职业资格，以确保提供专业的培训服务。”

合同价款与支付：“培训费用包括培训费、资料费及其他费用，消费者可通过银行转账、支付宝、微信或现金等多种付费方式支付费用，具体收费渠道由培训机构另行明确。”

合同交易条款：“培训内容、收费标准及服务承诺由培训机构明确说明，并需严格遵守培训计划和管理制度。退费条款、安全措施及培训质量均为合同的重要内容，培训机构可与合作机构共同提供服务。培训时间、培训规模和培训设施由培训协议明确规定，培训账户用于学员费用管理。”"
85,,电影发行协议（买断）,"合同标的：“本合同涉及电影的相关事务，包括影片的拷贝、素材、资料的使用及处置，尤其是其版权的授权、发行和放映，授权范围限定于特定区域内。”

合同主体：“本合同的主体包括制作单位、导演、编剧、演员、发行单位、法人、著作权人、影院以及其他相关合作伙伴，各方需根据合同约定履行相应义务。”

合同价款与支付：“合同中约定了以买断形式支付版权费，具体费用以人民币计算，分批次支付至指定账户，如因故延迟支付，将按约定支付滞纳金，直至余额清算完毕。”

合同交易条款：“影片的首映必须在约定期限内完成，且享有独家放映权。各方需配合电影的宣传、推广以及署名事项，所有资料交付后归属明确。涉及肖像、姓名权的使用需获得授权，相关贴片广告、首映式的安排均需遵守合同条款。发行权限和著作权的归属以市场化方式处理，合同内容需严格保密，且不得擅自转让。”"
88,,电影发行协议（分账）,"合同标的：“本合同标的为电影的发行与放映，涉及影片的票房分账、拷贝制作、相关素材与资料的使用及版权授权。合同明确电影的发行区域及期限，并约定首映的独家放映权及影片长度等具体要求。”

合同主体：“本合同的主体包括电影的著作权人、制作单位、发行单位，以及涉及电影创作与制作的导演、编剧、演员、配乐师、词曲作者、录音师和灯光师。合同还明确了电影院作为放映场所的参与角色。”

合同价款与支付：“合同约定影片相关的价款结算方式，包括票房收入的分账、版权费的支付及其他对价。支付方式通过划账至指定账户，需按照合同规定的支付期限完成。合同还涉及最低票价的设定、支付报表的提供及滞纳金、赔偿金的处理等事项。”

合同交易条款：“合同明确了授权范围，包括独家授权的区域和期限，以及样片、拷贝的使用与推广。合同还约定了首映式的宣传与贴片广告的安排，防范措施的实施，以及涉及署名权、肖像权与名字使用的具体条款。”"
92,,房产按揭贷款合同,"合同标的：“本合同所涉及的标的是一套房产，涉及按揭贷款和房产权的抵押，同时包含物业管理与购楼款的支付事宜。为保障权益，房产需办理保险，并提供担保以确保交易安全。”  

合同主体：“本合同的主体包括抵押人、抵押权人、担保人、借款人及贷款人。此外，售房单位和登记机关作为相关方参与合同的执行和登记事宜。”  

合同价款与支付：“本合同约定的贷款金额以币种‘元’为单位，其贷款期限、月息及利率调整方式需明确约定。购房款可采取分期付款或透支方式支付，逾期还款需支付罚息，并承担相关手续费。”  

合同交易条款：“合同规定借款人可申请提前还款，但需提前提交书面通知并支付补偿金。若发生逾期，需支付逾期利息。抵押登记手续必须完成，购房权益以入住通知为准。房产需投保，保险公司需明确投保金额，并指定第一受益人为抵押权人。若发生损失，需按损失赔偿条款执行。出现违约时，房产可被拍卖或转让，确保担保责任得以落实，且租客需按要求迁出。”"
95,,国家助学贷款合同,"合同标的：“本合同涉及借款性质的助学贷款，主要用于支付借款人的学费及生活费等相关支出。资金将存入指定账户，依据贷款总额及用款计划进行支用，具体合同金额以双方约定为准。”

合同主体：“本合同的主体包括借款人、贷款人以及可能涉及的介绍人和见证人。双方当事人分别为甲方和乙方，如有需要，可由代理人或见证人协助完成相关手续。”

合同价款与支付：“本合同中约定的贷款金额需按照约定的支付方式及支付时间进行支付。借款人需按约定利率支付本金及利息，本息将通过扣款方式归还。具体支付时间及金额以合同约定为准。”

合同交易条款：“借款用途需严格按照合同约定执行，不得挪用贷款资金。借款期限、贷款划入时间及支用时间均需遵守约定，并确保账户余额充足以扣除本息。合同生效后，借款人可申请提前还款，但需遵守利率调整、信息检查等条款。若发生违约情况，将按照合同有效期内的用途约定进行处理。此外，合同变更或解除需经双方协商一致并执行相关程序。”"
98,,借款合同,"合同标的：“本合同涉及借款与贷款事宜，借款方需以抵押方式获取资金，贷款金额及用途需明确，并按约定期限支付利息并完成还款，具体条款在合同中详细列出。”  

合同主体：“本合同的主体包括贷款方、借款方及可能的保证方，各方需由各自的代表人签署合同并加盖公章，其中贷款方可以是银行或信用合作社。”  

合同价款与支付：“合同价款以人民币计，本金及利息按照约定的利率支付，可采用分期或批次支付方式，并遵循‘利随本清’的原则，金额需大写明确，利率可能按千分比计算。”  

合同交易条款：“为保障合同履行，借款方需提供抵押品作为担保，不得挪用借款用途，贷款方有权监督和检查借款方的经营计划及财务报表。借款方需按时偿还借款，如发生破产、关闭或违约，将面临违约金和罚息，贷款方可提前追偿。”  "
,,,
,,,
,,,
